times,prices,sellBuyHold,confidence
0,28325.42,2,0.52584344
1,28296.09,2,0.5443881
2,28291.01,2,0.57166356
3,28276.6,2,0.55573666
4,28267.66,2,0.5720418
5,28306.28,2,0.58118975
6,28291.35,2,0.5811405
7,28273.2,2,0.53777325
8,28288.9,2,0.56124634
9,28312.3,2,0.56229615
10,28320.78,2,0.555156
11,28325.75,2,0.5432309
12,28312.43,2,0.5705678
13,28301.4,2,0.580489
14,28313.34,2,0.5937464
15,28289.39,2,0.5841141
16,28278.77,2,0.57213336
17,28116.95,1,0.8131131
18,28126.39,1,0.9117749
19,28100.15,1,0.96215487
20,28124.02,1,0.95352906
21,28151.33,1,0.8991726
22,28114.91,1,0.954969
23,28133.7,1,0.9465289
24,28127.53,1,0.93599707
25,28090.62,1,0.9631371
26,28112.74,1,0.9253401
27,28100.89,1,0.94716305
28,28123.33,1,0.86929065
29,28112.36,1,0.897976
30,28144.08,1,0.7501704
31,28125.35,1,0.79503137
32,28067.66,1,0.9370628
33,28046.73,1,0.9521197
34,28018.6,1,0.97688496
35,28016.09,1,0.9749947
36,28018.05,1,0.97523254
37,28082.29,1,0.89183193
38,28099.25,1,0.791069
39,28129.99,1,0.59394836
40,28114.25,1,0.6342705
41,28143.43,1,0.4133997
42,28146.86,2,0.39250416
43,28134.62,2,0.40847963
44,28140.68,2,0.43315366
45,28125.69,2,0.44440225
46,28114.27,2,0.4285982
47,28188.91,2,0.38780987
48,28213.54,0,0.49932843
49,28202.72,0,0.51561457
50,28219.91,0,0.57095736
51,28195.06,0,0.49365318
52,28190.0,0,0.4604645
53,28190.31,2,0.454177
54,28215.41,0,0.55757695
55,28196.1,0,0.47434768
56,28183.63,2,0.5086684
57,28170.14,2,0.54385704
58,28161.18,2,0.5632284
59,28200.26,2,0.48006535
60,28187.25,2,0.50201017
61,28177.03,2,0.5374933
62,28167.5,2,0.55049527
63,28160.0,2,0.5663874
64,28159.17,2,0.71085143
65,28153.64,2,0.72271794
66,28147.09,2,0.72671723
67,28135.46,2,0.7183851
68,28111.82,2,0.6286278
69,28115.77,2,0.6646926
70,28128.38,2,0.6993933
71,28074.09,2,0.54219085
72,28029.43,1,0.6884685
73,27946.15,1,0.9400766
74,27980.97,1,0.92319125
75,27985.47,1,0.9186187
76,27944.0,1,0.9605141
77,27971.98,1,0.9433515
78,27972.13,1,0.9224807
79,27982.09,1,0.9206054
80,27981.97,1,0.9077587
81,28031.99,1,0.70743865
82,28043.08,1,0.6078201
83,28040.79,1,0.5693897
84,28068.37,2,0.49105075
85,28081.04,2,0.53306055
86,28053.74,2,0.48875082
87,28059.1,2,0.51896477
88,28073.74,2,0.58363235
89,28051.93,2,0.5352439
90,28118.69,2,0.56003857
91,28132.01,2,0.5491831
92,28088.73,2,0.55756444
93,28096.24,2,0.60234094
94,28118.01,2,0.61675805
95,28075.65,2,0.5809025
96,28068.42,2,0.58910316
97,28058.3,2,0.5961614
98,28025.86,2,0.48272035
99,28012.62,2,0.46884954
100,28025.78,2,0.5212563
101,27985.91,1,0.5199061
102,27927.56,1,0.7849079
103,27885.82,1,0.9050738
104,27899.58,1,0.87378305
105,27934.79,1,0.77411485
106,27969.69,1,0.5254084
107,27948.15,1,0.59546626
108,27973.29,2,0.4584583
109,27969.85,2,0.49158064
