times,prices,sellBuyHold,confidence
212,27851.03,2,0.54985726
213,27799.15,2,0.50025904
214,27792.71,2,0.48454154
215,27781.16,2,0.468637
216,27812.42,2,0.4973899
217,27826.27,2,0.51753324
218,27830.05,2,0.5303139
219,27819.73,2,0.5379381
220,27827.93,2,0.55233854
221,27848.25,2,0.5649158
222,27908.69,2,0.50197655
223,27913.32,2,0.48165438
224,27895.39,2,0.50260216
225,27901.99,2,0.5139919
226,27920.79,2,0.49795
227,27904.36,2,0.51689374
228,27907.41,2,0.5257746
229,27915.09,2,0.525263
230,27889.93,2,0.549411
231,27882.09,2,0.55524254
232,27911.39,2,0.5389501
233,27881.39,2,0.5507416
234,27870.36,2,0.5641205
235,27872.29,2,0.5740225
236,27901.36,2,0.553268
237,27904.67,2,0.53645575
238,28004.9,0,0.45299545
239,28019.38,0,0.49337903
240,28105.0,0,0.5507937
241,28064.5,0,0.5334469
242,28106.27,0,0.55525714
243,28063.81,0,0.5161325
244,28130.54,0,0.5567343
245,28111.79,0,0.5442856
246,28069.74,0,0.48605967
247,28043.43,0,0.43472052
248,28026.07,2,0.4374276
249,28013.39,2,0.46693787
250,27996.13,2,0.50220054
251,27981.34,2,0.52901584
252,28024.24,2,0.48798844
253,28040.87,2,0.46660003
254,28014.5,2,0.5017449
255,28030.27,2,0.5055333
256,28017.79,2,0.5281196
257,28004.68,2,0.5537913
258,27979.98,2,0.56133926
259,27981.38,2,0.56494844
260,28000.29,2,0.5593309
261,28007.89,2,0.55989873
262,28035.3,2,0.5384734
263,28080.0,2,0.4643993
264,28060.0,2,0.47548062
265,28088.72,2,0.43820676
266,28097.37,2,0.43334475
267,28106.6,2,0.42849076
268,28119.42,0,0.42355433
269,28040.33,2,0.46719918
270,28063.97,2,0.49186027
271,28094.67,2,0.4648041
272,28077.89,2,0.48554063
273,28096.85,2,0.47961828
274,28100.12,2,0.48176506
275,28155.78,0,0.43247244
276,28142.1,0,0.42210418
277,28148.23,2,0.42075443
278,28180.13,0,0.45350015
279,28274.9,0,0.53988725
280,28210.9,0,0.4923518
281,28191.98,0,0.44584617
282,28302.2,0,0.551796
283,28270.78,0,0.5369257
284,28269.98,0,0.52772343
285,28232.2,0,0.46300274
286,28225.45,0,0.4387116
287,28207.49,2,0.45142663
288,28208.5,2,0.4722857
289,28241.19,2,0.43808135
290,28205.77,2,0.47932044
291,28223.43,2,0.47633436
292,28399.99,0,0.5591135
293,28333.79,0,0.5398379
294,28390.52,0,0.57379115
295,28275.2,0,0.4442106
296,28275.8,2,0.40905735
297,28257.62,2,0.42876506
298,28251.36,2,0.44775167
299,28262.22,2,0.45482764
300,28272.09,2,0.46083546
301,28282.83,2,0.4553664
302,28286.54,2,0.45959637
303,28322.58,2,0.42725524
304,28271.09,2,0.47017223
305,28238.38,2,0.5029762
306,28299.98,2,0.48155794
307,28317.5,2,0.44599795
308,28324.17,2,0.44189715
309,28274.87,2,0.46279448
310,28215.05,2,0.4488844
311,28248.88,2,0.46697915
312,28219.67,2,0.47479293
313,28245.71,2,0.4973991
314,28270.33,2,0.5061135
315,28250.72,2,0.51423013
316,28376.33,2,0.40764645
317,28301.06,2,0.4179512
318,28293.49,2,0.44679412
319,28305.47,2,0.45530245
320,28277.03,2,0.48002315
321,28269.38,2,0.48763102
322,28269.5,2,0.49419603
323,28188.29,1,0.4523858
324,28215.3,2,0.44052178
325,28150.47,1,0.5262286
326,28111.59,1,0.5817604
327,28175.62,1,0.4656301
328,28167.6,1,0.45584
329,28199.1,2,0.41528645
330,28183.23,2,0.42275771
331,28106.87,1,0.5458459
332,28167.42,1,0.45084637
333,28220.96,2,0.42308468
334,28250.99,2,0.42230925
335,28173.82,1,0.41466135
336,28203.91,2,0.4334958
337,28157.05,1,0.4521932
338,28130.58,1,0.5029562
339,28131.58,1,0.5012372
340,28104.01,1,0.5283774
341,28085.24,1,0.5528866
342,27979.58,1,0.6690863
343,27978.58,1,0.6536583
344,28010.46,1,0.6001013
345,27978.12,1,0.62180996
346,28055.0,1,0.5045783
347,28055.64,1,0.4893804
348,28079.12,1,0.44041115
349,28051.24,1,0.47741368
350,28040.36,1,0.4951121
351,28006.3,1,0.5437987
352,27995.96,1,0.5535781
353,28005.1,1,0.52467895
354,28015.04,1,0.4854941
355,28035.44,1,0.4363949
356,28068.38,2,0.46176085
357,28055.68,2,0.46662852
358,28026.71,2,0.44385394
359,28119.91,2,0.45682117
360,28072.8,2,0.4639504
361,28069.6,2,0.4789191
362,28095.16,2,0.48797157
363,28116.97,2,0.47781423
364,28120.05,2,0.4767569
365,28099.32,2,0.48815665
366,28099.32,2,0.49197924
367,28126.06,2,0.47967038
368,28172.21,2,0.42481264
369,28143.15,2,0.4392281
370,28184.18,0,0.42884904
371,28148.4,2,0.42761043
372,28203.91,0,0.45113558
373,28200.4,0,0.45482683
374,28187.9,0,0.42865488
375,28215.28,0,0.45952782
376,28215.35,0,0.4556132
377,28198.6,0,0.4370924
378,28170.89,2,0.4371534
379,28154.64,2,0.4629624
380,28154.63,2,0.48582476
381,28122.01,2,0.5112713
382,28144.66,2,0.5170518
383,28134.87,2,0.53763807
384,28181.34,2,0.48802146
385,28167.93,2,0.49729997
386,28202.67,2,0.45656323
387,28107.06,2,0.47041586
388,28133.26,2,0.49174482
389,28116.31,2,0.5048438
390,28117.1,2,0.5176404
391,28120.3,2,0.53501976
392,28158.89,2,0.5154723
393,28083.96,2,0.48694748
394,28132.19,2,0.50985265
395,28121.08,2,0.52122414
396,28158.44,2,0.51986986
397,28115.38,2,0.5250728
398,28176.84,2,0.50444305
399,28190.63,2,0.48757914
400,28195.99,2,0.48418668
401,28204.99,2,0.48840103
402,28195.99,2,0.5090065
403,28189.52,2,0.5191997
404,28199.44,2,0.5276777
405,28182.36,2,0.5524171
406,28207.39,2,0.5309629
407,28238.65,2,0.48155493
408,28251.02,2,0.4458714
409,28266.58,2,0.43381163
410,28284.95,0,0.4267615
411,28248.69,2,0.44528154
412,28216.14,2,0.46724465
413,28236.56,2,0.47025943
414,28230.78,2,0.48190457
415,28225.9,2,0.5045306
416,28220.92,2,0.5243483
417,28197.18,2,0.5397646
418,28199.9,2,0.54599845
419,28182.2,2,0.54770535
420,28183.39,2,0.5595636
421,28195.09,2,0.5670858
422,28163.84,2,0.5548441
423,28211.79,2,0.55441314
424,28219.17,2,0.54648703
425,28247.77,2,0.5199478
426,28254.87,2,0.51763517
427,28231.95,2,0.54295594
428,28222.87,2,0.5636684
429,28234.66,2,0.5763867
430,28234.64,2,0.58075637
431,28234.64,2,0.58582
432,28191.74,2,0.5643832
