times,prices,sellBuyHold,confidence
0,28615.52,2,0.43994293
1,28706.98,2,0.4334153
2,28661.68,2,0.42331943
3,28653.93,2,0.4171402
4,28632.19,2,0.41078708
5,28617.84,2,0.40722433
6,28654.77,2,0.40231147
7,28632.36,2,0.393622
8,28610.86,2,0.39252684
9,28614.99,2,0.40199807
10,28614.66,2,0.40095615
11,28448.52,2,0.40218303
12,28526.34,2,0.400735
13,28551.07,2,0.3945837
14,28547.22,2,0.38558045
15,28547.22,2,0.39615324
16,28589.7,2,0.4030804
17,28595.01,2,0.40822375
18,28578.6,2,0.4108807
19,28618.83,2,0.4140699
20,28605.09,2,0.41571832
21,28599.66,2,0.41756418
22,28583.0,2,0.42370063
23,28572.24,2,0.42555454
24,28620.51,2,0.42687824
25,28659.99,2,0.4356557
26,28648.63,2,0.4494141
27,28664.1,2,0.45961323
28,28688.62,2,0.46270692
29,28680.39,2,0.45878437
30,28669.28,2,0.44822845
31,28660.39,2,0.44751003
32,28687.35,2,0.44739005
33,28698.04,2,0.44862893
34,28703.12,2,0.44974086
35,28677.2,2,0.45322606
36,28694.55,2,0.45643827
37,28685.55,2,0.46026513
38,28698.07,2,0.4650506
39,28707.33,2,0.46675003
40,28836.89,2,0.45685008
41,28789.82,2,0.45415735
42,28762.95,2,0.4518306
43,28763.54,2,0.4563974
44,28754.97,2,0.46801013
45,28782.98,2,0.4842844
46,28775.5,2,0.49586233
47,28791.69,2,0.5044485
48,28806.21,2,0.50844723
49,28858.18,2,0.50262266
50,28885.89,2,0.49232826
51,28903.18,2,0.48230514
52,28880.59,2,0.4749081
53,28868.29,2,0.47685125
54,28910.6,2,0.48268446
55,28943.4,2,0.49217355
56,28935.26,2,0.49886438
57,28911.71,2,0.5072594
58,28910.79,2,0.50741124
59,28882.96,2,0.501872
60,28934.97,2,0.48761696
61,28890.82,2,0.48406985
62,28866.74,2,0.48466468
63,28865.58,2,0.48592713
64,28877.69,2,0.48723143
65,28862.55,2,0.4982857
66,28869.09,2,0.5080451
67,28860.17,2,0.5185426
68,28868.44,2,0.51861006
69,28861.74,2,0.5210014
70,28843.97,2,0.52205557
71,28818.02,2,0.5168499
72,28802.65,2,0.5142373
73,28830.02,2,0.5162411
74,28869.23,2,0.51236504
75,28852.02,2,0.51618284
76,28815.35,2,0.5167481
77,28826.64,2,0.5147852
78,28823.98,2,0.5156067
79,28807.41,2,0.51828796
80,28846.98,2,0.5081833
81,28801.16,2,0.5080106
82,28798.67,2,0.5122632
83,28811.76,2,0.5172745
84,28766.79,2,0.51857835
85,28796.06,2,0.5192354
86,28771.32,2,0.5158477
87,28778.52,2,0.51690656
88,28769.87,2,0.52134174
89,28753.29,2,0.5276696
90,28694.36,2,0.5239882
91,28666.56,2,0.51954806
92,28695.93,2,0.5070408
93,28766.78,2,0.49284115
94,28801.68,2,0.4783546
95,28805.49,2,0.47421306
96,28800.5,2,0.46733207
97,28797.4,2,0.4665668
98,28808.3,2,0.47515932
99,28832.68,2,0.48083043
100,28835.0,2,0.49101377
101,28828.68,2,0.49921474
102,28811.96,2,0.50237316
103,28856.78,2,0.49813634
104,28844.14,2,0.50101376
105,28847.57,2,0.5103475
106,28832.44,2,0.5226665
107,28834.44,2,0.53520286
108,28876.63,2,0.54469234
109,28867.78,2,0.555371
110,28870.2,2,0.5585219
111,28846.67,2,0.56013745
112,28847.8,2,0.55967903
113,28838.34,2,0.55575657
114,28824.36,2,0.5574817
115,28813.83,2,0.55910707
116,28826.47,2,0.56251127
117,28860.87,2,0.56121296
118,28845.33,2,0.562264
119,28843.59,2,0.54948306
120,28840.69,2,0.537783
121,28839.66,2,0.5311703
122,28823.39,2,0.5342008
123,28805.3,2,0.52560073
124,28790.28,2,0.51727563
125,28810.46,2,0.5049614
126,28790.7,2,0.49380645
127,28817.1,2,0.48447338
128,28908.25,2,0.46746504
129,28918.64,2,0.4616274
130,28918.63,2,0.45257834
131,28901.8,2,0.44729406
132,28839.94,2,0.45340127
133,28849.03,2,0.46025598
134,28910.58,2,0.46672156
135,29028.42,2,0.45829877
136,29092.39,2,0.44594786
137,29044.15,2,0.44307745
138,28983.09,2,0.45423886
139,28984.04,2,0.457352
140,28947.92,2,0.47301358
141,28902.0,2,0.48205355
142,28867.6,2,0.49178535
143,28921.79,2,0.50059676
144,28923.59,2,0.5045049
145,28896.3,2,0.5045165
146,28847.52,2,0.50710356
147,28882.75,2,0.50852156
148,28873.99,2,0.51405984
149,28887.19,2,0.5251022
150,28868.79,2,0.5411414
151,28822.98,2,0.5542585
152,28841.49,2,0.5530776
153,28827.21,2,0.5563856
154,28815.84,2,0.5582599
155,28794.4,2,0.5522175
156,28800.1,2,0.5521049
157,28809.34,2,0.55128837
158,28783.63,2,0.5533493
159,28791.88,2,0.55459374
160,28783.02,2,0.5636185
161,28770.12,2,0.5689877
162,28770.98,2,0.5716491
163,28771.92,2,0.5766602
164,28768.41,2,0.5787308
165,28791.0,2,0.5792322
166,28774.1,2,0.5795324
167,28782.4,2,0.57667816
168,28788.03,2,0.5668666
169,28780.29,2,0.5638574
170,28806.29,2,0.5578999
171,28802.1,2,0.5468943
172,28799.5,2,0.5377412
173,28792.72,2,0.5339397
174,28807.19,2,0.5250367
175,28814.39,2,0.5257384
176,28836.91,2,0.5194876
177,28829.69,2,0.516149
178,28842.8,2,0.51108193
179,28846.49,2,0.51733106
180,28860.07,2,0.52482337
181,28843.72,2,0.53019035
182,28840.12,2,0.53733784
183,28827.84,2,0.54267806
184,28830.87,2,0.5453345
185,28883.1,2,0.5435156
186,28871.29,2,0.5453794
187,28896.71,2,0.5453265
188,28896.05,2,0.5497617
189,28871.4,2,0.5592996
190,28892.37,2,0.56635314
191,28884.0,2,0.57026184
192,28899.07,2,0.57036483
193,28889.04,2,0.5742388
194,28910.33,2,0.57478255
195,28924.7,2,0.5771873
196,28882.06,2,0.58079803
197,28885.15,2,0.5852916
198,28898.81,2,0.5874011
199,28910.71,2,0.5900773
200,28927.49,2,0.5945507
201,28923.3,2,0.5969793
202,28915.63,2,0.59786063
203,28918.07,2,0.5939975
204,28918.79,2,0.5930585
205,28927.18,2,0.5909393
206,28919.97,2,0.5915943
207,28940.45,2,0.58717495
208,28902.41,2,0.5832985
209,28912.62,2,0.58002955
210,28898.01,2,0.57796085
211,28922.98,2,0.57237744
