timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_average,BTC_HLPercent
1467352800.0,678.0,666.74,686.0,151868.49,0.0,0.028075801749271125
1467374400.0,682.99,670.41,684.89,94489.01,0.0,0.02114208121012136
1467396000.0,677.0,670.22,682.96,119858.39,0.0,0.018654093944008448
1467417600.0,677.5,674.0,682.99,20823.27,0.0,0.013162711020659173
1467439200.0,690.34,675.5,695.14,49960.55,0.0,0.02825330149322437
1467460800.0,694.88,685.45,698.0,89365.68,0.0,0.017979942693409676
1467482400.0,705.0,689.32,707.06,158630.52,0.0,0.025089808502814327
1467504000.0,688.02,680.99,706.99,126685.53,0.0,0.03677562624648156
1467525600.0,681.0,660.61,694.6,113339.35,0.0,0.04893463864094444
1467547200.0,659.99,641.51,681.0,247131.66,0.0,0.05798825256975038
1467568800.0,657.28,655.0,668.07,76474.34,0.0,0.01956381816276745
1467590400.0,669.0,646.11,675.46,121112.74,0.0,0.04345186983685195
1467612000.0,666.03,635.0,675.73,318534.05,0.0,0.06027555384547085
1467633600.0,662.53,660.69,681.98,161951.04,0.0,0.031217924279304324
1467655200.0,677.3,661.89,681.99,89206.54,0.0,0.029472572911626305
1467676800.0,676.0,671.0,681.99,30975.27,0.0,0.016114605786008606
1467698400.0,671.5,660.0,677.9,139584.53,0.0,0.026405074494763207
1467720000.0,669.92,661.0,677.9,147620.53,0.0,0.024929930668240122
1467741600.0,669.41,664.88,675.99,60427.88,0.0,0.016435154366188868
1467763200.0,670.13,665.0,680.63,55623.09,0.0,0.022964018629798855
1467784800.0,671.8,667.0,677.71,99722.29,0.0,0.01580321966622897
1467806400.0,672.13,667.5,676.0,27562.7,0.0,0.01257396449704142
1467828000.0,677.0,669.0,679.0,41509.46,0.0,0.014727540500736377
1467849600.0,639.0,632.93,680.6,249254.85,0.0,0.07004114017043796
1467871200.0,646.99,625.43,647.0,214381.47,0.0,0.033338485316847064
1467892800.0,616.49,608.0,646.99,317423.59,0.0,0.06026368259169386
1467914400.0,638.6,594.0,638.6,287853.88,0.0,0.06984027560288134
1467936000.0,637.32,634.2,646.86,58193.28,0.0,0.019571468323903114
1467957600.0,643.99,637.0,645.0,63418.84,0.0,0.012403100775193798
1467979200.0,656.49,642.0,661.42,275266.51,0.0,0.02936107163375761
1468000800.0,667.0,650.97,667.0,141759.91,0.0,0.024032983508245835
1468022400.0,656.25,652.0,669.65,93565.47,0.0,0.02635705219144326
1468044000.0,650.99,640.55,661.0,146166.59,0.0,0.030937972768532596
1468065600.0,638.0,623.0,664.51,278629.85,0.0,0.06246708100705782
1468087200.0,651.99,636.25,657.99,75097.54,0.0,0.033040015805711344
1468108800.0,649.7,644.0,651.99,35333.95,0.0,0.012254789183883202
1468130400.0,648.44,641.79,651.9,35762.81,0.0,0.015508513575701816
1468152000.0,646.15,638.0,650.99,56738.87,0.0,0.019954223567182305
1468173600.0,648.53,639.29,652.0,41817.66,0.0,0.019493865030674903
1468195200.0,653.17,645.55,664.48,154240.97,0.0,0.028488442090055476
1468216800.0,646.2,645.56,657.63,35911.63,0.0,0.018353785563310753
1468238400.0,652.97,645.01,654.46,108745.75,0.0,0.014439385141949156
1468260000.0,648.02,648.0,653.99,67553.22,0.0,0.009159161455068135
1468281600.0,648.0,645.0,652.99,20573.86,0.0,0.012236021991148423
1468303200.0,655.3,645.0,658.87,47477.09,0.0,0.021051193710443644
1468324800.0,673.85,651.13,677.8,167683.82,0.0,0.03934789023310705
1468346400.0,666.66,666.25,678.0,85536.65,0.0,0.01733038348082596
1468368000.0,663.25,658.91,670.0,52236.27,0.0,0.016552238805970197
1468389600.0,667.0,663.25,672.06,53564.59,0.0,0.013108948605779165
1468411200.0,665.39,657.46,671.5,53180.36,0.0,0.020908413998510744
1468432800.0,657.24,654.0,666.08,48764.21,0.0,0.01813595964448721
1468454400.0,654.0,651.0,661.52,27024.2,0.0,0.015902769379610566
1468476000.0,661.94,653.67,661.94,67399.36,0.0,0.012493579478502726
1468497600.0,665.0,658.53,669.9,61205.53,0.0,0.016972682489923875
1468519200.0,659.5,657.1,667.0,62661.35,0.0,0.014842578710644644
1468540800.0,667.99,658.0,667.99,33631.25,0.0,0.014955313702300946
1468562400.0,665.12,661.1,666.66,31513.42,0.0,0.008340083400833927
