timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_HLPercent
1467374400,678,666.74,686,151868.49,0.028075802
1467396000,682.99,670.41,684.89,94489.01,0.021142081
1467417600,677,670.22,682.96,119858.39,0.018654094
1467439200,677.5,674,682.99,20823.27,0.013162711
1467460800,690.34,675.5,695.14,49960.55,0.028253301
1467482400,694.88,685.45,698,89365.68,0.017979943
1467504000,705,689.32,707.06,158630.52,0.025089809
1467525600,688.02,680.99,706.99,126685.53,0.036775626
1467547200,681,660.61,694.6,113339.35,0.048934639
1467568800,659.99,641.51,681,247131.66,0.057988253
1467590400,657.28,655,668.07,76474.34,0.019563818
1467612000,669,646.11,675.46,121112.74,0.04345187
1467633600,666.03,635,675.73,318534.05,0.060275554
1467655200,662.53,660.69,681.98,161951.04,0.031217924
1467676800,677.3,661.89,681.99,89206.54,0.029472573
1467698400,676,671,681.99,30975.27,0.016114606
1467720000,671.5,660,677.9,139584.53,0.026405074
1467741600,669.92,661,677.9,147620.53,0.024929931
1467763200,669.41,664.88,675.99,60427.88,0.016435154
1467784800,670.13,665,680.63,55623.09,0.022964019
1467806400,671.8,667,677.71,99722.29,0.01580322
1467828000,672.13,667.5,676,27562.7,0.012573964
1467849600,677,669,679,41509.46,0.014727541
1467871200,639,632.93,680.6,249254.85,0.07004114
1467892800,646.99,625.43,647,214381.47,0.033338485
1467914400,616.49,608,646.99,317423.59,0.060263683
1467936000,638.6,594,638.6,287853.88,0.069840276
1467957600,637.32,634.2,646.86,58193.28,0.019571468
1467979200,643.99,637,645,63418.84,0.012403101
1468000800,656.49,642,661.42,275266.51,0.029361072
1468022400,667,650.97,667,141759.91,0.024032984
1468044000,656.25,652,669.65,93565.47,0.026357052
1468065600,650.99,640.55,661,146166.59,0.030937973
1468087200,638,623,664.51,278629.85,0.062467081
1468108800,651.99,636.25,657.99,75097.54,0.033040016
1468130400,649.7,644,651.99,35333.95,0.012254789
1468152000,648.44,641.79,651.9,35762.81,0.015508514
1468173600,646.15,638,650.99,56738.87,0.019954224
1468195200,648.53,639.29,652,41817.66,0.019493865
1468216800,653.17,645.55,664.48,154240.97,0.028488442
1468238400,646.2,645.56,657.63,35911.63,0.018353786
1468260000,652.97,645.01,654.46,108745.75,0.014439385
1468281600,648.02,648,653.99,67553.22,0.009159161
1468303200,648,645,652.99,20573.86,0.012236022
1468324800,655.3,645,658.87,47477.09,0.021051194
1468346400,673.85,651.13,677.8,167683.82,0.03934789
1468368000,666.66,666.25,678,85536.65,0.017330383
1468389600,663.25,658.91,670,52236.27,0.016552239
1468411200,667,663.25,672.06,53564.59,0.013108949
1468432800,665.39,657.46,671.5,53180.36,0.020908414
1468454400,657.24,654,666.08,48764.21,0.01813596
1468476000,654,651,661.52,27024.2,0.015902769
1468497600,661.94,653.67,661.94,67399.36,0.012493579
1468519200,665,658.53,669.9,61205.53,0.016972682
1468540800,659.5,657.1,667,62661.35,0.014842579
1468562400,667.99,658,667.99,33631.25,0.014955314
1468584000,665.12,661.1,666.66,31513.42,0.008340083
1468605600,666.24,662.7,666.81,24741.24,0.006163675
1468627200,665.96,663.24,677.98,108912.47,0.021741054
1468648800,669.49,663.4,672.8,31151.65,0.013971463
1468670400,668.87,664.1,669.19,12953.02,0.00760621
1468692000,664.18,659.95,669.11,25966.72,0.013689827
1468713600,667.47,662.1,670,78111.48,0.011791045
1468735200,666.36,664,670,13535.31,0.008955224
1468756800,670,667.32,670,5503.46,0.004
1468778400,683.41,667.61,690,99972.3,0.032449275
1468800000,685,677.6,686.34,43603.48,0.012734213
1468821600,684.1,680,686.6,24113.34,0.009612584
1468843200,682,680.46,686.68,139836.29,0.009058077
1468864800,679.64,671.9,685.69,108131.83,0.020111129
1468886400,676.95,668.32,679.08,103730.36,0.015844967
1468908000,677.3,673.71,677.79,26435.03,0.006019564
1468929600,673.99,669.92,677.7,36941.19,0.011480006
1468951200,671,668,677,46294.1,0.013293944
1468972800,676.49,667.9,677.9,130455.63,0.014751438
1468994400,673.3,672.2,677.41,6544.14,0.007691059
1469016000,670,670,676,34165.85,0.00887574
1469037600,668.1,663,674.4,86251.23,0.016903915
1469059200,667.23,661.55,669.37,51500.57,0.011682627
1469080800,662.01,659.86,669,28005.32,0.013662182
1469102400,666.83,662.02,667.84,24935.43,0.008714662
1469124000,666.03,663.1,668.99,40437.32,0.008804317
1469145600,663.98,663.1,667.73,23206.61,0.00693394
1469167200,667,663.1,670,29379.5,0.010298507
1469188800,664.59,659.32,667,43895,0.011514243
1469210400,658.81,650,664.59,134064.51,0.021953385
1469232000,646.75,641.3,659.95,169011.78,0.028259717
1469253600,651.66,644.12,655.2,46962.15,0.016910867
1469275200,656.87,646,658.21,27788.74,0.018550311
1469296800,656.7,649.31,658,77385.28,0.013206687
1469318400,656.63,650.2,656.94,29166.19,0.010259689
1469340000,653.5,651.4,659.17,56970.18,0.011787551
1469361600,658.5,651,665.08,192636.95,0.021170386
1469383200,666.39,654.07,667.09,122952.23,0.019517606
1469404800,664.49,661.53,665.99,29738.09,0.006696797
1469426400,658.79,657,664.99,35032.6,0.012015218
1469448000,652.12,652,659.8,103395.92,0.011821764
1469469600,653.02,652,659.99,21405.04,0.012106244
1469491200,653,650.37,657.33,18712.93,0.010588289
1469512800,653,650.01,656.99,24061.88,0.01062421
1469534400,649,639.51,653.43,138493.36,0.02130297
1469556000,655.01,642.13,662.01,401821.03,0.030029758
1469577600,655.08,646.68,659.43,96441.04,0.01933488
1469599200,654.99,642,657.26,75293.36,0.0232176
1469620800,650.22,650,656.09,95646.24,0.009282263
1469642400,658,650.89,661,48584.07,0.015295008
1469664000,657.99,653.83,659.98,15376.69,0.009318464
1469685600,654.12,654,659,12832.17,0.007587253
1469707200,659.77,654.12,659.77,62460.17,0.00856359
1469728800,656.02,650,662,217473.48,0.018126888
1469750400,658.07,652,658.69,58560.91,0.010156523
1469772000,659.42,653.65,659.49,21500.94,0.008855328
1469793600,655.01,653.56,659.52,22499.12,0.009036875
1469815200,655.09,654.56,660.8,28307.39,0.009443099
1469836800,657.99,655.65,661.94,26519.9,0.009502372
1469858400,659.79,655.8,661.21,7917.35,0.008181969
1469880000,655.81,654.01,659.8,12624.88,0.008775386
1469901600,658.8,653,661.06,39244.74,0.012192539
1469923200,656.42,652,658.8,24153.55,0.010321797
1469944800,632.66,629,656.74,137824.3,0.042238938
1469966400,633.8,630,640.9,87271.13,0.017007333
1469988000,633.82,630,638.99,102634.38,0.014069078
1470009600,624.84,616.88,635.06,190406.84,0.028627216
1470031200,622,611.01,628.66,230015.94,0.028075589
1470052800,623.41,617.68,630.04,171657.85,0.019617802
1470074400,620,616.09,628,89774.83,0.018964968
1470096000,610.04,602.07,619.51,475813.09,0.028151281
1470117600,605.04,594,616.74,480946.74,0.036871291
1470139200,598,584.42,609.55,557090.92,0.041227135
1470160800,594.64,580,608.94,304142.17,0.047525208
1470182400,531.6,462.94,603.95,1906791.76,0.233479593
1470204000,530.51,511.07,547.49,648893.92,0.066521763
1470225600,552,528.87,560.24,343568.91,0.05599386
1470247200,546.31,542.57,590,545606.62,0.080389831
1470268800,566.18,546.31,578.22,611188.77,0.055186607
1470290400,577,566.22,588,218636.13,0.037040816
1470312000,580,572.9,583,209117.68,0.017324185
1470333600,582.01,573,595.34,395675.06,0.037524776
1470355200,581.04,567.1,586.45,217713.66,0.03299514
1470376800,576.32,570.1,584.97,90640.83,0.025420107
1470398400,573.41,569,579.1,74549.99,0.017440857
1470420000,572.56,569.22,575.69,68558.11,0.011238687
1470441600,574.75,570,578.77,78328.79,0.015152824
1470463200,566.01,563,577,97927.15,0.024263432
1470484800,568,563,569,94974.99,0.010544815
1470506400,590,563.41,590,245620.82,0.045067797
1470528000,582.53,580.84,592,86311.21,0.018851351
1470549600,592,584.86,613,190956.07,0.045905383
1470571200,597,590,619.8,115017.5,0.048080026
1470592800,595.88,589,625,310542.64,0.0576
1470614400,602,591.6,608,88051.99,0.026973684
1470636000,598.99,596.1,613.34,65161.92,0.02810839
1470657600,598.04,593.05,600.26,80690.92,0.012011462
1470679200,599,593.05,599,127318.35,0.009933222
1470700800,597.99,591.78,599.94,75719.41,0.01360136
1470722400,588.33,586,597.99,105083.59,0.020050503
1470744000,590.99,586.01,598,118651.3,0.020050167
1470765600,602.01,589,625.29,506020.91,0.058037071
1470787200,602,599,609.09,135189.42,0.016565696
1470808800,598.99,595.12,605.98,103512.7,0.017921384
1470830400,611,596.15,612.99,112231.72,0.0274719
1470852000,604.1,604.02,619,276460.82,0.024200323
1470873600,594.68,590,608.83,230588.77,0.030928174
1470895200,593.8,586.27,601,148368.8,0.024509151
1470916800,601.94,593.1,605,145534.77,0.019669421
1470938400,593.59,590.1,605.51,134656.58,0.025449621
1470960000,589.24,585.03,595,147678.14,0.016756303
1470981600,588.93,582.62,603.21,138605.97,0.03413405
1471003200,594.62,586.47,598.99,134647.21,0.020901851
1471024800,589.44,586.7,594.6,110571.21,0.013286243
